Year,Area,Main type of activity,Level of education,Population 31 Dec
1990,MK06 Pirkanmaa,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,224
1990,MK13 Central Finland,Total,Total,254539
1990,MK13 Central Finland,Total,7-8 Master's or equivalent level or doctoral or equivalent level,6805
1990,MK13 Central Finland,Employed,Total,110051
1990,MK13 Central Finland,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,5775
1990,MK13 Central Finland,Unemployed,Total,9331
1990,MK13 Central Finland,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,100
1990,MK14 South Ostrobothnia,Total,Total,207010
1990,MK14 South Ostrobothnia,Total,7-8 Master's or equivalent level or doctoral or equivalent level,2815
1990,MK14 South Ostrobothnia,Employed,Total,88378
1990,MK14 South Ostrobothnia,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,2488
1990,MK14 South Ostrobothnia,Unemployed,Total,6014
1990,MK14 South Ostrobothnia,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,21
1990,MK15 Ostrobothnia,Total,Total,167108
1990,MK15 Ostrobothnia,Total,7-8 Master's or equivalent level or doctoral or equivalent level,3831
1990,MK15 Ostrobothnia,Employed,Total,75574
1990,MK15 Ostrobothnia,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,3302
1990,MK15 Ostrobothnia,Unemployed,Total,3843
1990,MK15 Ostrobothnia,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,30
1990,MK10 South Savo,Total,Total,163462
1990,MK10 South Savo,Total,7-8 Master's or equivalent level or doctoral or equivalent level,3020
1990,MK10 South Savo,Employed,Total,69984
1990,MK10 South Savo,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,2518
1990,MK10 South Savo,Unemployed,Total,6181
1990,MK10 South Savo,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,31
1990,MK11 North Savo,Total,Total,265040
1990,MK11 North Savo,Total,7-8 Master's or equivalent level or doctoral or equivalent level,5779
1990,MK11 North Savo,Employed,Total,112672
1990,MK11 North Savo,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,4937
1990,MK11 North Savo,Unemployed,Total,9743
1990,MK11 North Savo,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,36
1990,MK12 North Karelia,Total,Total,182200
1990,MK12 North Karelia,Total,7-8 Master's or equivalent level or doctoral or equivalent level,3511
1990,MK12 North Karelia,Employed,Total,74587
1990,MK12 North Karelia,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,3014
1990,MK12 North Karelia,Unemployed,Total,8103
1990,MK12 North Karelia,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,50
1990,MK16 Central Ostrobothnia,Total,Total,68214
1990,MK16 Central Ostrobothnia,Total,7-8 Master's or equivalent level or doctoral or equivalent level,1021
1990,MK16 Central Ostrobothnia,Employed,Total,28996
1990,MK16 Central Ostrobothnia,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,902
1990,MK16 Central Ostrobothnia,Unemployed,Total,2139
1990,MK16 Central Ostrobothnia,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,9
1990,MK17 North Ostrobothnia,Total,Total,350799
1990,MK17 North Ostrobothnia,Total,7-8 Master's or equivalent level or doctoral or equivalent level,8396
1990,MK17 North Ostrobothnia,Employed,Total,148370
1990,MK17 North Ostrobothnia,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,7439
1990,MK17 North Ostrobothnia,Unemployed,Total,12496
1990,MK17 North Ostrobothnia,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,82
1990,MK18 Kainuu,Total,Total,92459
1990,MK18 Kainuu,Total,7-8 Master's or equivalent level or doctoral or equivalent level,1619
1990,MK18 Kainuu,Employed,Total,37641
1990,MK18 Kainuu,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,1445
1990,MK18 Kainuu,Unemployed,Total,4735
1990,MK18 Kainuu,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,14
1990,MK19 Lapland,Total,Total,200674
1990,MK19 Lapland,Total,7-8 Master's or equivalent level or doctoral or equivalent level,3725
1990,MK19 Lapland,Employed,Total,85831
1990,MK19 Lapland,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,3319
1990,MK19 Lapland,Unemployed,Total,10296
1990,MK19 Lapland,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,34
1990,MK21 Åland,Total,Total,24604
1990,MK21 Åland,Total,7-8 Master's or equivalent level or doctoral or equivalent level,493
1990,MK21 Åland,Employed,Total,12407
1990,MK21 Åland,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,409
1990,MK21 Åland,Unemployed,Total,236
1990,MK21 Åland,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,1
1991,MK01 Uusimaa,Total,Total,1248072
1991,MK01 Uusimaa,Total,7-8 Master's or equivalent level or doctoral or equivalent level,78751
1991,MK01 Uusimaa,Employed,Total,620790
1991,MK01 Uusimaa,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,64239
1991,MK01 Uusimaa,Unemployed,Total,58317
1991,MK01 Uusimaa,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,1899
1991,MK02 Southwest Finland,Total,Total,427158
1991,MK02 Southwest Finland,Total,7-8 Master's or equivalent level or doctoral or equivalent level,14462
1991,MK02 Southwest Finland,Employed,Total,188193
1991,MK02 Southwest Finland,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,11616
1991,MK02 Southwest Finland,Unemployed,Total,23125
1991,MK02 Southwest Finland,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,432
1991,MK05 Kanta-Häme,Total,Total,163442
1991,MK05 Kanta-Häme,Total,7-8 Master's or equivalent level or doctoral or equivalent level,4090
1991,MK05 Kanta-Häme,Employed,Total,70690
1991,MK05 Kanta-Häme,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,3337
1991,MK05 Kanta-Häme,Unemployed,Total,9047
1991,MK05 Kanta-Häme,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,63
1991,MK07 Päijät-Häme,Total,Total,205613
1991,MK07 Päijät-Häme,Total,7-8 Master's or equivalent level or doctoral or equivalent level,4278
1991,MK07 Päijät-Häme,Employed,Total,87107
1991,MK07 Päijät-Häme,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,3517
1991,MK07 Päijät-Häme,Unemployed,Total,14341
1991,MK07 Päijät-Häme,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,76
1991,MK08 Kymenlaakso,Total,Total,186322
1991,MK08 Kymenlaakso,Total,7-8 Master's or equivalent level or doctoral or equivalent level,3865
1991,MK08 Kymenlaakso,Employed,Total,77765
1991,MK08 Kymenlaakso,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,3235
1991,MK08 Kymenlaakso,Unemployed,Total,11941
1991,MK08 Kymenlaakso,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,69
1991,MK09 South Karelia,Total,Total,140150
1991,MK09 South Karelia,Total,7-8 Master's or equivalent level or doctoral or equivalent level,2881
1991,MK09 South Karelia,Employed,Total,57859
1991,MK09 South Karelia,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,2418
1991,MK09 South Karelia,Unemployed,Total,9465
1991,MK09 South Karelia,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,51
1991,MK04 Satakunta,Total,Total,240767
1991,MK04 Satakunta,Total,7-8 Master's or equivalent level or doctoral or equivalent level,4600
1991,MK04 Satakunta,Employed,Total,98531
1991,MK04 Satakunta,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,3905
1991,MK04 Satakunta,Unemployed,Total,16830
1991,MK04 Satakunta,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,98
1991,MK06 Pirkanmaa,Total,Total,432391
1991,MK06 Pirkanmaa,Total,7-8 Master's or equivalent level or doctoral or equivalent level,13407
1991,MK06 Pirkanmaa,Employed,Total,180600
1991,MK06 Pirkanmaa,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,11020
1991,MK06 Pirkanmaa,Unemployed,Total,29940
1991,MK06 Pirkanmaa,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,508
1991,MK13 Central Finland,Total,Total,256480
1991,MK13 Central Finland,Total,7-8 Master's or equivalent level or doctoral or equivalent level,7237
1991,MK13 Central Finland,Employed,Total,103898
1991,MK13 Central Finland,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,6115
1991,MK13 Central Finland,Unemployed,Total,16712
1991,MK13 Central Finland,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,186
1991,MK14 South Ostrobothnia,Total,Total,207348
1991,MK14 South Ostrobothnia,Total,7-8 Master's or equivalent level or doctoral or equivalent level,2964
1991,MK14 South Ostrobothnia,Employed,Total,81725
1991,MK14 South Ostrobothnia,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,2570
1991,MK14 South Ostrobothnia,Unemployed,Total,12157
1991,MK14 South Ostrobothnia,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,42
1991,MK15 Ostrobothnia,Total,Total,167807
1991,MK15 Ostrobothnia,Total,7-8 Master's or equivalent level or doctoral or equivalent level,4018
1991,MK15 Ostrobothnia,Employed,Total,71101
1991,MK15 Ostrobothnia,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,3451
1991,MK15 Ostrobothnia,Unemployed,Total,7689
1991,MK15 Ostrobothnia,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,56
1991,MK10 South Savo,Total,Total,163426
1991,MK10 South Savo,Total,7-8 Master's or equivalent level or doctoral or equivalent level,3182
1991,MK10 South Savo,Employed,Total,65021
1991,MK10 South Savo,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,2630
1991,MK10 South Savo,Unemployed,Total,10574
1991,MK10 South Savo,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,57
1991,MK11 North Savo,Total,Total,266039
1991,MK11 North Savo,Total,7-8 Master's or equivalent level or doctoral or equivalent level,6032
1991,MK11 North Savo,Employed,Total,104683
1991,MK11 North Savo,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,5091
1991,MK11 North Savo,Unemployed,Total,17042
1991,MK11 North Savo,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,110
1991,MK12 North Karelia,Total,Total,182707
1991,MK12 North Karelia,Total,7-8 Master's or equivalent level or doctoral or equivalent level,3738
1991,MK12 North Karelia,Employed,Total,69776
1991,MK12 North Karelia,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,3139
1991,MK12 North Karelia,Unemployed,Total,12417
1991,MK12 North Karelia,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,88
1991,MK16 Central Ostrobothnia,Total,Total,68503
1991,MK16 Central Ostrobothnia,Total,7-8 Master's or equivalent level or doctoral or equivalent level,1094
1991,MK16 Central Ostrobothnia,Employed,Total,26794
1991,MK16 Central Ostrobothnia,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,959
1991,MK16 Central Ostrobothnia,Unemployed,Total,4199
1991,MK16 Central Ostrobothnia,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,26
1991,MK17 North Ostrobothnia,Total,Total,354088
1991,MK17 North Ostrobothnia,Total,7-8 Master's or equivalent level or doctoral or equivalent level,9020
1991,MK17 North Ostrobothnia,Employed,Total,138616
1991,MK17 North Ostrobothnia,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,7871
1991,MK17 North Ostrobothnia,Unemployed,Total,22250
1991,MK17 North Ostrobothnia,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,194
1991,MK18 Kainuu,Total,Total,92190
1991,MK18 Kainuu,Total,7-8 Master's or equivalent level or doctoral or equivalent level,1661
1991,MK18 Kainuu,Employed,Total,34511
1991,MK18 Kainuu,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,1456
1991,MK18 Kainuu,Unemployed,Total,7731
1991,MK18 Kainuu,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,24
1991,MK19 Lapland,Total,Total,201652
1991,MK19 Lapland,Total,7-8 Master's or equivalent level or doctoral or equivalent level,3915
1991,MK19 Lapland,Employed,Total,79260
1991,MK19 Lapland,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,3451
1991,MK19 Lapland,Unemployed,Total,16470
1991,MK19 Lapland,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,69
1991,MK21 Åland,Total,Total,24847
1991,MK21 Åland,Total,7-8 Master's or equivalent level or doctoral or equivalent level,505
1991,MK21 Åland,Employed,Total,12227
1991,MK21 Åland,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,419
1991,MK21 Åland,Unemployed,Total,469
1991,MK21 Åland,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,9
1992,MK01 Uusimaa,Total,Total,1261807
1992,MK01 Uusimaa,Total,7-8 Master's or equivalent level or doctoral or equivalent level,82124
1992,MK01 Uusimaa,Employed,Total,579448
1992,MK01 Uusimaa,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,65166
1992,MK01 Uusimaa,Unemployed,Total,96091
1992,MK01 Uusimaa,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,3714
1992,MK02 Southwest Finland,Total,Total,428864
1992,MK02 Southwest Finland,Total,7-8 Master's or equivalent level or doctoral or equivalent level,15251
1992,MK02 Southwest Finland,Employed,Total,175077
1992,MK02 Southwest Finland,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,12085
1992,MK02 Southwest Finland,Unemployed,Total,35097
1992,MK02 Southwest Finland,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,714
1992,MK05 Kanta-Häme,Total,Total,164363
1992,MK05 Kanta-Häme,Total,7-8 Master's or equivalent level or doctoral or equivalent level,4244
1992,MK05 Kanta-Häme,Employed,Total,65111
1992,MK05 Kanta-Häme,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,3381
1992,MK05 Kanta-Häme,Unemployed,Total,14115
1992,MK05 Kanta-Häme,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,142
1992,MK07 Päijät-Häme,Total,Total,206107
1992,MK07 Päijät-Häme,Total,7-8 Master's or equivalent level or doctoral or equivalent level,4471
1992,MK07 Päijät-Häme,Employed,Total,80244
1992,MK07 Päijät-Häme,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,3630
1992,MK07 Päijät-Häme,Unemployed,Total,20885
1992,MK07 Päijät-Häme,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,127
1992,MK08 Kymenlaakso,Total,Total,186382
1992,MK08 Kymenlaakso,Total,7-8 Master's or equivalent level or doctoral or equivalent level,4014
1992,MK08 Kymenlaakso,Employed,Total,72604
1992,MK08 Kymenlaakso,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,3274
1992,MK08 Kymenlaakso,Unemployed,Total,16500
1992,MK08 Kymenlaakso,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,98
1992,MK09 South Karelia,Total,Total,139907
1992,MK09 South Karelia,Total,7-8 Master's or equivalent level or doctoral or equivalent level,3015
1992,MK09 South Karelia,Employed,Total,53533
1992,MK09 South Karelia,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,2473
1992,MK09 South Karelia,Unemployed,Total,13202
1992,MK09 South Karelia,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,93
1992,MK04 Satakunta,Total,Total,240744
1992,MK04 Satakunta,Total,7-8 Master's or equivalent level or doctoral or equivalent level,4779
1992,MK04 Satakunta,Employed,Total,90649
1992,MK04 Satakunta,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,3992
1992,MK04 Satakunta,Unemployed,Total,23354
1992,MK04 Satakunta,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,154
1992,MK06 Pirkanmaa,Total,Total,434066
1992,MK06 Pirkanmaa,Total,7-8 Master's or equivalent level or doctoral or equivalent level,14130
1992,MK06 Pirkanmaa,Employed,Total,168090
1992,MK06 Pirkanmaa,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,11287
1992,MK06 Pirkanmaa,Unemployed,Total,40899
1992,MK06 Pirkanmaa,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,790
1992,MK13 Central Finland,Total,Total,257719
1992,MK13 Central Finland,Total,7-8 Master's or equivalent level or doctoral or equivalent level,7633
1992,MK13 Central Finland,Employed,Total,95906
1992,MK13 Central Finland,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,6381
