Year,Area,Main type of activity,Level of education,Population 31 Dec
1988,MK19 Lapland,Employed,Total,87259
1988,MK19 Lapland,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,3097
1988,MK19 Lapland,Unemployed,Total,10237
1988,MK19 Lapland,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,45
1988,MK21 Åland,Total,Total,24045
1988,MK21 Åland,Total,7-8 Master's or equivalent level or doctoral or equivalent level,434
1988,MK21 Åland,Employed,Total,12177
1988,MK21 Åland,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,354
1988,MK21 Åland,Unemployed,Total,159
1988,MK21 Åland,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,1
1989,MK01 Uusimaa,Total,Total,1219864
1989,MK01 Uusimaa,Total,7-8 Master's or equivalent level or doctoral or equivalent level,72327
1989,MK01 Uusimaa,Employed,Total,668312
1989,MK01 Uusimaa,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,60732
1989,MK01 Uusimaa,Unemployed,Total,9612
1989,MK01 Uusimaa,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,543
1989,MK02 Southwest Finland,Total,Total,423659
1989,MK02 Southwest Finland,Total,7-8 Master's or equivalent level or doctoral or equivalent level,13094
1989,MK02 Southwest Finland,Employed,Total,205216
1989,MK02 Southwest Finland,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,10896
1989,MK02 Southwest Finland,Unemployed,Total,8054
1989,MK02 Southwest Finland,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,171
1989,MK05 Kanta-Häme,Total,Total,161181
1989,MK05 Kanta-Häme,Total,7-8 Master's or equivalent level or doctoral or equivalent level,3738
1989,MK05 Kanta-Häme,Employed,Total,77403
1989,MK05 Kanta-Häme,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,3102
1989,MK05 Kanta-Häme,Unemployed,Total,2315
1989,MK05 Kanta-Häme,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,30
1989,MK07 Päijät-Häme,Total,Total,204146
1989,MK07 Päijät-Häme,Total,7-8 Master's or equivalent level or doctoral or equivalent level,3909
1989,MK07 Päijät-Häme,Employed,Total,98408
1989,MK07 Päijät-Häme,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,3283
1989,MK07 Päijät-Häme,Unemployed,Total,3801
1989,MK07 Päijät-Häme,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,33
1989,MK08 Kymenlaakso,Total,Total,186368
1989,MK08 Kymenlaakso,Total,7-8 Master's or equivalent level or doctoral or equivalent level,3595
1989,MK08 Kymenlaakso,Employed,Total,85715
1989,MK08 Kymenlaakso,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,3080
1989,MK08 Kymenlaakso,Unemployed,Total,5002
1989,MK08 Kymenlaakso,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,21
1989,MK09 South Karelia,Total,Total,140237
1989,MK09 South Karelia,Total,7-8 Master's or equivalent level or doctoral or equivalent level,2618
1989,MK09 South Karelia,Employed,Total,64385
1989,MK09 South Karelia,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,2271
1989,MK09 South Karelia,Unemployed,Total,3849
1989,MK09 South Karelia,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,23
1989,MK04 Satakunta,Total,Total,240925
1989,MK04 Satakunta,Total,7-8 Master's or equivalent level or doctoral or equivalent level,4244
1989,MK04 Satakunta,Employed,Total,109196
1989,MK04 Satakunta,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,3694
1989,MK04 Satakunta,Unemployed,Total,7164
1989,MK04 Satakunta,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,37
1989,MK06 Pirkanmaa,Total,Total,428740
1989,MK06 Pirkanmaa,Total,7-8 Master's or equivalent level or doctoral or equivalent level,11896
1989,MK06 Pirkanmaa,Employed,Total,200343
1989,MK06 Pirkanmaa,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,10052
1989,MK06 Pirkanmaa,Unemployed,Total,10855
1989,MK06 Pirkanmaa,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,208
1989,MK13 Central Finland,Total,Total,252917
1989,MK13 Central Finland,Total,7-8 Master's or equivalent level or doctoral or equivalent level,6507
1989,MK13 Central Finland,Employed,Total,113107
1989,MK13 Central Finland,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,5569
1989,MK13 Central Finland,Unemployed,Total,6727
1989,MK13 Central Finland,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,77
1989,MK14 South Ostrobothnia,Total,Total,206454
1989,MK14 South Ostrobothnia,Total,7-8 Master's or equivalent level or doctoral or equivalent level,2667
